Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.81680e-05,-9,-9
-9.81660e-05,-9,-9
-9.81640e-05,-9,-9
-9.81620e-05,-9,-7
-9.81600e-05,-9,-9
-9.81580e-05,-9,-7
-9.81560e-05,-9,-9
-9.81540e-05,-9,-9
-9.81520e-05,-9,-9
-9.81500e-05,-9,-7
-9.81480e-05,-9,-9
-9.81460e-05,-9,-7
-9.81440e-05,-9,-9
-9.81420e-05,-9,-9
-9.81400e-05,-9,-9
-9.81380e-05,-9,-9
-9.81360e-05,-9,-9
-9.81340e-05,-9,-7
-9.81320e-05,-7,-7
-9.81300e-05,-7,-7
-9.81280e-05,-9,-9
-9.81260e-05,-9,-7
-9.81240e-05,-9,-9
-9.81220e-05,-9,-7
-9.81200e-05,-9,-9
-9.81180e-05,-9,-9
-9.81160e-05,-9,-9
-9.81140e-05,-9,-9
-9.81120e-05,-9,-9
-9.81100e-05,-9,-7
-9.81080e-05,-9,-9
-9.81060e-05,-9,-7
-9.81040e-05,-9,-9
-9.81020e-05,-9,-9
-9.81000e-05,-9,-9
-9.80980e-05,-7,-7
-9.80960e-05,-9,-9
-9.80940e-05,-9,-9
-9.80920e-05,-9,-9
-9.80900e-05,-9,-7
-9.80880e-05,-9,-9
-9.80860e-05,-9,-7
-9.80840e-05,-9,-9
-9.80820e-05,-9,-9
-9.80800e-05,-9,-9
-9.80780e-05,-9,-9
-9.80760e-05,-7,-9
-9.80740e-05,-7,-7
-9.80720e-05,-7,-7
-9.80700e-05,-7,-7
-9.80680e-05,-9,-9
-9.80660e-05,-9,-7
-9.80640e-05,-9,-9
-9.80620e-05,-9,-7
-9.80600e-05,-9,-9
-9.80580e-05,-9,-7
-9.80560e-05,-7,-9
-9.80540e-05,-9,-7
-9.80520e-05,-9,-9
-9.80500e-05,-9,-7
-9.80480e-05,-9,-9
-9.80460e-05,-7,-7
-9.80440e-05,-7,-9
-9.80420e-05,-9,-7
-9.80400e-05,-9,-9
-9.80380e-05,-9,-9
-9.80360e-05,-9,-9
-9.80340e-05,-9,-9
-9.80320e-05,-7,-9
-9.80300e-05,-9,-7
-9.80280e-05,-9,-9
-9.80260e-05,-9,-7
-9.80240e-05,-9,-9
-9.80220e-05,-9,-7
-9.80200e-05,-9,-9
-9.80180e-05,-9,-9
-9.80160e-05,-9,-9
-9.80140e-05,-9,-7
-9.80120e-05,-7,-9
-9.80100e-05,-9,-7
-9.80080e-05,-9,-9
-9.80060e-05,-9,-7
-9.80040e-05,-7,-9
-9.80020e-05,-9,-7
-9.80000e-05,-9,-9
-9.79980e-05,-9,-7
-9.79960e-05,-9,-9
-9.79940e-05,-9,-7
